yyyymmdd,accu,mean,top10_mean,max,std
20020916,4598.5,12.880952380952381,98.2,128.0,22.344519783586243
20020917,1159.6,3.248179271708683,49.019999999999996,104.0,9.986117999871494
20020918,2555.3,7.198028169014085,116.95,216.0,23.152157361206747
20020919,1544.5,4.350704225352112,100.3,150.0,17.826399739517814
20020920,217.7,0.6064066852367688,13.9,40.0,2.9454063496251464
20020921,1232.6,3.5217142857142854,38.65,79.0,8.163548768139743
20020922,1690.9,4.790084985835694,70.0,113.0,13.366381584033924
20020923,389.0,1.0896358543417366,17.6,74.0,4.473642589507843
20020924,1269.2,3.5353760445682454,65.25,126.0,12.41062092591134
20020925,5682.7,17.11656626506024,56.7,68.5,16.469623268888178
20020926,1119.5,3.2829912023460412,25.65,41.0,5.392767326689081
20020927,117.3,0.3231404958677686,6.2,12.0,1.2283223568008659
20020928,134.2,0.36566757493188007,9.42,28.5,2.1281603596055847
20020929,142.2,0.3895890410958904,10.8,28.5,2.063406173440467
20020930,901.2,2.589655172413793,25.169999999999998,40.5,5.39043500436341
20030401,365.3,1.049712643678161,12.65,27.0,2.5281347738338087
20030402,17.3,0.04625668449197861,1.03,1.5,0.19952992456662624
20030403,11528.7,33.907941176470594,118.1,144.0,30.576001188880507
20030404,9421.2,28.291891891891893,120.65,161.0,27.28743609232676
20030405,415.4,1.1506925207756231,12.0,43.0,2.862646203729688
20030406,39.3,0.1065040650406504,1.47,2.5,0.306940449738011
20030407,1021.8,2.996480938416422,24.95,40.0,5.343978928042381
20030408,7158.7,21.433233532934132,66.95,77.0,15.595101440691638
20030409,7091.6,21.36024096385542,73.3,85.0,17.91568398002312
20030410,940.8,2.703448275862069,23.05,30.0,4.80662134966431
20030411,432.9,1.1958563535911602,8.35,12.0,1.8574649930376037
20030412,12.2,0.0332425068119891,0.65,1.5,0.14422999926881974
20030413,4.0,0.0106951871657754,0.4,2.0,0.12079526201151355
20030414,1319.4,3.8578947368421055,18.4,22.5,5.114551446954029
20030415,1386.6,3.973065902578796,23.2,38.5,4.848308368765006
20030416,39.8,0.1067024128686327,2.95,8.5,0.5995826161478262
20030417,131.5,0.353494623655914,8.4,18.0,1.636500213533694
20030418,79.1,0.21671232876712326,6.31,30.0,1.7364489467423228
20030419,12.0,0.03278688524590164,0.65,1.5,0.14416290664779147
20030420,32.5,0.08807588075880758,3.05,12.5,0.7613415877333249
20030421,1195.3,3.3019337016574584,69.0,141.5,13.19080005934247
20030422,1782.0,4.895604395604396,59.64,73.0,11.81041319342982
20030423,1210.2,3.3523545706371194,39.05,53.0,8.799348455264205
20030424,351.3,0.9520325203252032,16.15,20.0,3.1798403667086834
20030425,361.5,0.961436170212766,16.25,25.5,3.134261096058556
20030426,498.7,1.3738292011019284,22.45,32.5,4.190643315509563
20030427,345.1,0.9377717391304349,17.1,41.5,3.429295534208222
20030428,417.7,1.153867403314917,19.75,41.0,3.8102143853038153
20030429,93.7,0.24986666666666668,8.3,35.5,2.1325274477848004
20030430,847.0,2.352777777777778,33.7,80.5,6.934053893290831
20030501,1259.2,3.5370786516853934,38.25,55.0,8.432506418582312
20030502,234.8,0.6380434782608696,12.9,30.0,2.4567052163108154
20030503,65.5,0.17945205479452056,5.55,10.5,1.0765188574479239
20030504,1124.7,3.186118980169972,57.05,194.5,12.919776656236499
20030505,400.1,1.9905472636815922,15.6,27.5,3.7108768725449557
20030506,1104.7,3.043250688705234,59.370000000000005,92.5,10.969154217803649
20030507,2.0,0.005390835579514825,0.2,0.5,0.0516367764438491
20030508,1779.1,4.983473389355742,34.45,42.5,8.028589058938255
20030509,191.0,0.5247252747252747,12.0,24.5,2.27913220455609
20030510,236.5,0.6409214092140921,16.2,34.0,3.0115730193262884
20030511,121.5,0.3347107438016529,7.5,14.5,1.4230323466392254
20030512,196.7,0.5389041095890411,9.370000000000001,15.5,1.8137885587935845
20030513,13.0,0.03513513513513514,1.2,5.0,0.29657159585541054
20030514,29.3,0.0804945054945055,1.89,6.0,0.4570314840821558
20030515,3983.6,11.447126436781609,69.0,86.0,15.256130021630234
20030516,1236.0,3.541547277936963,31.0,47.0,7.0486739114287245
20030517,3137.0,9.652307692307692,48.7,55.0,12.238239034867567
20030518,9358.2,28.35818181818182,89.53999999999999,119.5,21.48073576056991
20030519,1376.4,3.8662921348314607,26.5,34.5,5.556031115585465
